"CityServiceValcon, LLC (CSV)",,,,,,,,,,,
,,,,,,,,,,,
"Customer/
Invoice
Number",Invoice,Due,unk,Invoice Amount,Discount Amount,Invoice Balance,TransType,TransDate, TransAmount ,"Check
Number/Type","Deposit
Date"
5874403-PP,10/20/2025,10/20/2025,1/0/1900,12.65,0.00,12.65,PRE,10/20/2025, 12.65 ,F5874403,10/20/2025
5874404-PP,10/20/2025,10/20/2025,1/0/1900,141.56-,0.00,141.56-,PRE,10/20/2025, (141.56),C5874404,10/20/2025
5874405-PP,10/20/2025,10/20/2025,1/0/1900,2.72,0.00,2.72,PRE,10/20/2025, 2.72 ,F5874405,10/20/2025
5874406-PP,10/20/2025,10/20/2025,1/0/1900,582.53-,0.00,582.53-,PRE,10/20/2025, (582.53),C5874406,10/20/2025
5874407-PP,10/20/2025,10/20/2025,1/0/1900,10.81,0.00,10.81,PRE,10/20/2025, 10.81 ,F5874407,10/20/2025
W266101-IN,10/15/2025,10/25/2025,1/0/1900,129.37,0.00,129.37,INV,10/16/2025, 129.37 ,,
Customer 0019107 Totals:,,,,"3,963.91-",0.00,"3,963.91-",,," (3,963.91)",,
"0019108 Crossroads Fuel, LLC",,,,,,*** Credit Limit Exceeded ***,,,,,
0889077-IN,10/11/2025,10/21/2025,1/0/1900,"29,806.87",0.00,"29,806.87",INV,10/14/2025," 29,806.87 ",,
0889253-IN,10/12/2025,10/22/2025,1/0/1900,"33,737.24",0.00,"33,737.24",INV,10/15/2025," 33,737.24 ",,
0889297-IN,10/14/2025,10/24/2025,1/0/1900,"28,561.29",0.00,"28,561.29",INV,10/16/2025," 28,561.29 ",,
0889938-IN,10/20/2025,10/30/2025,1/0/1900,"2,033.46",0.00,"2,033.46",INV,10/20/2025," 2,033.46 ",,
5873230-PP,10/20/2025,10/20/2025,1/0/1900,"28,185.36-",0.00,"28,185.36-",PRE,10/20/2025," (28,185.36)",C5873230,10/20/2025
5873231-PP,10/20/2025,10/20/2025,1/0/1900,602.11,0.00,602.11,PRE,10/20/2025, 602.11 ,F5873231,10/20/2025
5873313-PP,10/20/2025,10/20/2025,1/0/1900,32.07-,0.00,32.07-,PRE,10/20/2025, (32.07),C5873313,10/20/2025
5873314-PP,10/20/2025,10/20/2025,1/0/1900,33.01,0.00,33.01,PRE,10/20/2025, 33.01 ,C5873314,10/20/2025
5873315-PP,10/20/2025,10/20/2025,1/0/1900,2.07-,0.00,2.07-,PRE,10/20/2025, (2.07),C5873315,10/20/2025
W265593-IN,10/13/2025,10/23/2025,1/0/1900,105.00,0.00,105.00,INV,10/13/2025, 105.00 ,,
Customer 0019108 Totals:,,,,"66,659.48",0.00,"66,659.48",,," 66,659.48 ",,
0019109 Gurkirpa LLC,,,,,,,,,,,
0888990-IN,10/11/2025,10/21/2025,1/0/1900,"37,004.00",0.00,"37,004.00",INV,10/15/2025," 37,004.00 ",,
5872953-PP,10/20/2025,10/20/2025,1/0/1900,"2,584.46-",0.00,"2,584.46-",PRE,10/20/2025," (2,584.46)",C5872953,10/20/2025
5872954-PP,10/20/2025,10/20/2025,1/0/1900,65.85,0.00,65.85,PRE,10/20/2025, 65.85 ,F5872954,10/20/2025
5872955-PP,10/20/2025,10/20/2025,1/0/1900,480.72-,0.00,480.72-,PRE,10/20/2025, (480.72),C5872955,10/20/2025
5872956-PP,10/20/2025,10/20/2025,1/0/1900,11.52,0.00,11.52,PRE,10/20/2025, 11.52 ,F5872956,10/20/2025
5872957-PP,10/20/2025,10/20/2025,1/0/1900,"2,965.20-",0.00,"2,965.20-",PRE,10/20/2025," (2,965.20)",C5872957,10/20/2025
5872958-PP,10/20/2025,10/20/2025,1/0/1900,71.24,0.00,71.24,PRE,10/20/2025, 71.24 ,F5872958,10/20/2025
5872959-PP,10/20/2025,10/20/2025,1/0/1900,"2,403.01-",0.00,"2,403.01-",PRE,10/20/2025," (2,403.01)",C5872959,10/20/2025
5872960-PP,10/20/2025,10/20/2025,1/0/1900,60.25,0.00,60.25,PRE,10/20/2025, 60.25 ,F5872960,10/20/2025
5872961-PP,10/20/2025,10/20/2025,1/0/1900,99.36-,0.00,99.36-,PRE,10/20/2025, (99.36),C5872961,10/20/2025
5872962-PP,10/20/2025,10/20/2025,1/0/1900,1.48,0.00,1.48,PRE,10/20/2025, 1.48 ,F5872962,10/20/2025
5872963-PP,10/20/2025,10/20/2025,1/0/1900,50.69-,0.00,50.69-,PRE,10/20/2025, (50.69),C5872963,10/20/2025
W265570-IN,10/11/2025,10/21/2025,1/0/1900,81.95-,0.00,81.95-,INV,10/13/2025, (81.95),,
W265936-IN,10/12/2025,10/22/2025,1/0/1900,70.47-,0.00,70.47-,INV,10/14/2025, (70.47),,
W265992-IN,10/13/2025,10/23/2025,1/0/1900,68.38-,0.00,68.38-,INV,10/15/2025, (68.38),,
W266044-IN,10/15/2025,10/25/2025,1/0/1900,123.89,0.00,123.89,INV,10/16/2025, 123.89 ,,
W266723-IN,10/14/2025,10/24/2025,1/0/1900,83.11-,0.00,83.11-,INV,10/16/2025, (83.11),,
W266804-IN,10/15/2025,10/25/2025,1/0/1900,109.59-,0.00,109.59-,INV,10/17/2025, (109.59),,
Customer 0019109 Totals:,,,,"28,341.29",0.00,"28,341.29",,," 28,341.29 ",,
0019110 Ivan LLC,,,,,,*** Credit Limit Exceeded ***,,,,,
0888236-IN,10/12/2025,10/22/2025,1/0/1900,"39,475.23",0.00,"39,475.23",INV,10/15/2025," 39,475.23 ",,
5849707-PP,10/8/2025,10/8/2025,1/0/1900,"4,645.58-",0.00,"4,645.58-",PRE,10/8/2025," (4,645.58)",C5849707,10/8/2025
5849708-PP,10/8/2025,10/8/2025,1/0/1900,82.50,0.00,82.50,PRE,10/8/2025, 82.50 ,F5849708,10/8/2025
5849770-PP,10/8/2025,10/8/2025,1/0/1900,198.35,0.00,198.35,PRE,10/8/2025, 198.35 ,C5849770,10/8/2025
5849771-PP,10/8/2025,10/8/2025,1/0/1900,94.40,0.00,94.40,PRE,10/8/2025, 94.40 ,C5849771,10/8/2025
5849772-PP,10/8/2025,10/8/2025,1/0/1900,23.71,0.00,23.71,PRE,10/8/2025, 23.71 ,C5849772,10/8/2025
5849773-PP,10/8/2025,10/8/2025,1/0/1900,25.74,0.00,25.74,PRE,10/8/2025, 25.74 ,C5849773,10/8/2025
5849774-PP,10/8/2025,10/8/2025,1/0/1900,264.96,0.00,264.96,PRE,10/8/2025, 264.96 ,C5849774,10/8/2025
5849775-PP,10/8/2025,10/8/2025,1/0/1900,83.09,0.00,83.09,PRE,10/8/2025, 83.09 ,C5849775,10/8/2025
5849776-PP,10/8/2025,10/8/2025,1/0/1900,95.10,0.00,95.10,PRE,10/8/2025, 95.10 ,C5849776,10/8/2025
5849777-PP,10/8/2025,10/8/2025,1/0/1900,57.30,0.00,57.30,PRE,10/8/2025, 57.30 ,C5849777,10/8/2025
5849778-PP,10/8/2025,10/8/2025,1/0/1900,127.03,0.00,127.03,PRE,10/8/2025, 127.03 ,C5849778,10/8/2025
5849779-PP,10/8/2025,10/8/2025,1/0/1900,29.85,0.00,29.85,PRE,10/8/2025, 29.85 ,C5849779,10/8/2025
5849780-PP,10/8/2025,10/8/2025,1/0/1900,2.87,0.00,2.87,PRE,10/8/2025, 2.87 ,C5849780,10/8/2025
5852116-PP,10/9/2025,10/9/2025,1/0/1900,"5,956.08-",0.00,"5,956.08-",PRE,10/9/2025," (5,956.08)",C5852116,10/9/2025
5852117-PP,10/9/2025,10/9/2025,1/0/1900,112.36,0.00,112.36,PRE,10/9/2025, 112.36 ,F5852117,10/9/2025
5852186-PP,10/9/2025,10/9/2025,1/0/1900,51.95,0.00,51.95,PRE,10/9/2025, 51.95 ,C5852186,10/9/2025
5852187-PP,10/9/2025,10/9/2025,1/0/1900,63.14,0.00,63.14,PRE,10/9/2025, 63.14 ,C5852187,10/9/2025
5852188-PP,10/9/2025,10/9/2025,1/0/1900,183.65,0.00,183.65,PRE,10/9/2025, 183.65 ,C5852188,10/9/2025
5852189-PP,10/9/2025,10/9/2025,1/0/1900,265.10,0.00,265.10,PRE,10/9/2025, 265.10 ,C5852189,10/9/2025
5852190-PP,10/9/2025,10/9/2025,1/0/1900,190.05,0.00,190.05,PRE,10/9/2025, 190.05 ,C5852190,10/9/2025
5852191-PP,10/9/2025,10/9/2025,1/0/1900,176.66,0.00,176.66,PRE,10/9/2025, 176.66 ,C5852191,10/9/2025
5852192-PP,10/9/2025,10/9/2025,1/0/1900,179.14,0.00,179.14,PRE,10/9/2025, 179.14 ,C5852192,10/9/2025
5852193-PP,10/9/2025,10/9/2025,1/0/1900,30.66,0.00,30.66,PRE,10/9/2025, 30.66 ,C5852193,10/9/2025
5852194-PP,10/9/2025,10/9/2025,1/0/1900,1.67,0.00,1.67,PRE,10/9/2025, 1.67 ,C5852194,10/9/2025
5854563-PP,10/10/2025,10/10/2025,1/0/1900,"5,541.48-",0.00,"5,541.48-",PRE,10/10/2025," (5,541.48)",C5854563,10/10/2025
5854564-PP,10/10/2025,10/10/2025,1/0/1900,113.68,0.00,113.68,PRE,10/10/2025, 113.68 ,F5854564,10/10/2025
5854647-PP,10/10/2025,10/10/2025,1/0/1900,100.16,0.00,100.16,PRE,10/10/2025, 100.16 ,C5854647,10/10/2025
5854648-PP,10/10/2025,10/10/2025,1/0/1900,53.77,0.00,53.77,PRE,10/10/2025, 53.77 ,C5854648,10/10/2025
5854649-PP,10/10/2025,10/10/2025,1/0/1900,286.41,0.00,286.41,PRE,10/10/2025, 286.41 ,C5854649,10/10/2025
5854650-PP,10/10/2025,10/10/2025,1/0/1900,82.16,0.00,82.16,PRE,10/10/2025, 82.16 ,C5854650,10/10/2025
5854651-PP,10/10/2025,10/10/2025,1/0/1900,132.52,0.00,132.52,PRE,10/10/2025, 132.52 ,C5854651,10/10/2025
5854652-PP,10/10/2025,10/10/2025,1/0/1900,63.26,0.00,63.26,PRE,10/10/2025, 63.26 ,C5854652,10/10/2025
5854653-PP,10/10/2025,10/10/2025,1/0/1900,72.54,0.00,72.54,PRE,10/10/2025, 72.54 ,C5854653,10/10/2025
5854654-PP,10/10/2025,10/10/2025,1/0/1900,1.05,0.00,1.05,PRE,10/10/2025, 1.05 ,C5854654,10/10/2025
5857118-PP,10/13/2025,10/13/2025,1/0/1900,"6,218.21-",0.00,"6,218.21-",PRE,10/13/2025," (6,218.21)",C5857118,10/13/2025
5857119-PP,10/13/2025,10/13/2025,1/0/1900,135.97,0.00,135.97,PRE,10/13/2025, 135.97 ,F5857119,10/13/2025
5857189-PP,10/13/2025,10/13/2025,1/0/1900,122.33,0.00,122.33,PRE,10/13/2025, 122.33 ,C5857189,10/13/2025
5857190-PP,10/13/2025,10/13/2025,1/0/1900,68.39,0.00,68.39,PRE,10/13/2025, 68.39 ,C5857190,10/13/2025
5857191-PP,10/13/2025,10/13/2025,1/0/1900,8.35,0.00,8.35,PRE,10/13/2025, 8.35 ,C5857191,10/13/2025
5857192-PP,10/13/2025,10/13/2025,1/0/1900,123.83,0.00,123.83,PRE,10/13/2025, 123.83 ,C5857192,10/13/2025
5857193-PP,10/13/2025,10/13/2025,1/0/1900,0.81,0.00,0.81,PRE,10/13/2025, 0.81 ,C5857193,10/13/2025
5859529-PP,10/13/2025,10/13/2025,1/0/1900,"3,786.11-",0.00,"3,786.11-",PRE,10/13/2025," (3,786.11)",C5859529,10/13/2025
5859530-PP,10/13/2025,10/13/2025,1/0/1900,81.83,0.00,81.83,PRE,10/13/2025, 81.83 ,F5859530,10/13/2025
5859575-PP,10/13/2025,10/13/2025,1/0/1900,76.70,0.00,76.70,PRE,10/13/2025, 76.70 ,C5859575,10/13/2025
5859576-PP,10/13/2025,10/13/2025,1/0/1900,0.57,0.00,0.57,PRE,10/13/2025, 0.57 ,C5859576,10/13/2025
5862071-PP,10/13/2025,10/13/2025,1/0/1900,"3,115.73-",0.00,"3,115.73-",PRE,10/13/2025," (3,115.73)",C5862071,10/13/2025
5862072-PP,10/13/2025,10/13/2025,1/0/1900,66.54,0.00,66.54,PRE,10/13/2025, 66.54 ,F5862072,10/13/2025
5862111-PP,10/13/2025,10/13/2025,1/0/1900,56.28,0.00,56.28,PRE,10/13/2025, 56.28 ,C5862111,10/13/2025
5862112-PP,10/13/2025,10/13/2025,1/0/1900,33.86,0.00,33.86,PRE,10/13/2025, 33.86 ,C5862112,10/13/2025
5862113-PP,10/13/2025,10/13/2025,1/0/1900,64.31,0.00,64.31,PRE,10/13/2025, 64.31 ,C5862113,10/13/2025
5864065-PP,10/14/2025,10/14/2025,1/0/1900,"5,421.80-",0.00,"5,421.80-",PRE,10/14/2025," (5,421.80)",C5864065,10/14/2025
5864066-PP,10/14/2025,10/14/2025,1/0/1900,91.39,0.00,91.39,PRE,10/14/2025, 91.39 ,F5864066,10/14/2025
5864121-PP,10/14/2025,10/14/2025,1/0/1900,199.02,0.00,199.02,PRE,10/14/2025, 199.02 ,C5864121,10/14/2025
5864122-PP,10/14/2025,10/14/2025,1/0/1900,66.42,0.00,66.42,PRE,10/14/2025, 66.42 ,C5864122,10/14/2025
5864123-PP,10/14/2025,10/14/2025,1/0/1900,46.76,0.00,46.76,PRE,10/14/2025, 46.76 ,C5864123,10/14/2025
5864124-PP,10/14/2025,10/14/2025,1/0/1900,75.05,0.00,75.05,PRE,10/14/2025, 75.05 ,C5864124,10/14/2025
5864125-PP,10/14/2025,10/14/2025,1/0/1900,62.60,0.00,62.60,PRE,10/14/2025, 62.60 ,C5864125,10/14/2025
5864126-PP,10/14/2025,10/14/2025,1/0/1900,202.77,0.00,202.77,PRE,10/14/2025, 202.77 ,C5864126,10/14/2025
5864127-PP,10/14/2025,10/14/2025,1/0/1900,85.09,0.00,85.09,PRE,10/14/2025, 85.09 ,C5864127,10/14/2025
5864128-PP,10/14/2025,10/14/2025,1/0/1900,99.58,0.00,99.58,PRE,10/14/2025, 99.58 ,C5864128,10/14/2025
5864129-PP,10/14/2025,10/14/2025,1/0/1900,112.06,0.00,112.06,PRE,10/14/2025, 112.06 ,C5864129,10/14/2025
5864130-PP,10/14/2025,10/14/2025,1/0/1900,1.51,0.00,1.51,PRE,10/14/2025, 1.51 ,C5864130,10/14/2025
5864131-PP,10/14/2025,10/14/2025,1/0/1900,180.45,0.00,180.45,PRE,10/14/2025, 180.45 ,C5864131,10/14/2025
5864132-PP,10/14/2025,10/14/2025,1/0/1900,406.71,0.00,406.71,PRE,10/14/2025, 406.71 ,C5864132,10/14/2025
5864133-PP,10/14/2025,10/14/2025,1/0/1900,22.86,0.00,22.86,PRE,10/14/2025, 22.86 ,C5864133,10/14/2025
5866197-PP,10/15/2025,10/15/2025,1/0/1900,"5,917.77-",0.00,"5,917.77-",PRE,10/15/2025," (5,917.77)",C5866197,10/15/2025
5866198-PP,10/15/2025,10/15/2025,1/0/1900,120.05,0.00,120.05,PRE,10/15/2025, 120.05 ,F5866198,10/15/2025
5866279-PP,10/15/2025,10/15/2025,1/0/1900,56.08,0.00,56.08,PRE,10/15/2025, 56.08 ,C5866279,10/15/2025
5866280-PP,10/15/2025,10/15/2025,1/0/1900,242.36,0.00,242.36,PRE,10/15/2025, 242.36 ,C5866280,10/15/2025
5866281-PP,10/15/2025,10/15/2025,1/0/1900,69.48,0.00,69.48,PRE,10/15/2025, 69.48 ,C5866281,10/15/2025
5866282-PP,10/15/2025,10/15/2025,1/0/1900,86.50,0.00,86.50,PRE,10/15/2025, 86.50 ,C5866282,10/15/2025
5866283-PP,10/15/2025,10/15/2025,1/0/1900,100.32,0.00,100.32,PRE,10/15/2025, 100.32 ,C5866283,10/15/2025
5866284-PP,10/15/2025,10/15/2025,1/0/1900,87.48,0.00,87.48,PRE,10/15/2025, 87.48 ,C5866284,10/15/2025
5866285-PP,10/15/2025,10/15/2025,1/0/1900,43.27,0.00,43.27,PRE,10/15/2025, 43.27 ,C5866285,10/15/2025
5866286-PP,10/15/2025,10/15/2025,1/0/1900,159.00,0.00,159.00,PRE,10/15/2025, 159.00 ,C5866286,10/15/2025
5866287-PP,10/15/2025,10/15/2025,1/0/1900,0.84-,0.00,0.84-,PRE,10/15/2025, (0.84),C5866287,10/15/2025
5868509-PP,10/16/2025,10/16/2025,1/0/1900,"5,778.17-",0.00,"5,778.17-",PRE,10/16/2025," (5,778.17)",C5868509,10/16/2025
5868510-PP,10/16/2025,10/16/2025,1/0/1900,110.41,0.00,110.41,PRE,10/16/2025, 110.41 ,F5868510,10/16/2025
5868579-PP,10/16/2025,10/16/2025,1/0/1900,61.79,0.00,61.79,PRE,10/16/2025, 61.79 ,C5868579,10/16/2025
5868580-PP,10/16/2025,10/16/2025,1/0/1900,86.71,0.00,86.71,PRE,10/16/2025, 86.71 ,C5868580,10/16/2025
5868581-PP,10/16/2025,10/16/2025,1/0/1900,244.08,0.00,244.08,PRE,10/16/2025, 244.08 ,C5868581,10/16/2025
5868582-PP,10/16/2025,10/16/2025,1/0/1900,202.09,0.00,202.09,PRE,10/16/2025, 202.09 ,C5868582,10/16/2025
5868583-PP,10/16/2025,10/16/2025,1/0/1900,50.64,0.00,50.64,PRE,10/16/2025, 50.64 ,C5868583,10/16/2025
5868584-PP,10/16/2025,10/16/2025,1/0/1900,77.55,0.00,77.55,PRE,10/16/2025, 77.55 ,C5868584,10/16/2025
5868585-PP,10/16/2025,10/16/2025,1/0/1900,55.03,0.00,55.03,PRE,10/16/2025, 55.03 ,C5868585,10/16/2025
5868586-PP,10/16/2025,10/16/2025,1/0/1900,235.55,0.00,235.55,PRE,10/16/2025, 235.55 ,C5868586,10/16/2025
5868587-PP,10/16/2025,10/16/2025,1/0/1900,107.44,0.00,107.44,PRE,10/16/2025, 107.44 ,C5868587,10/16/2025
5868588-PP,10/16/2025,10/16/2025,1/0/1900,105.09,0.00,105.09,PRE,10/16/2025, 105.09 ,C5868588,10/16/2025
5868589-PP,10/16/2025,10/16/2025,1/0/1900,5.16,0.00,5.16,PRE,10/16/2025, 5.16 ,C5868589,10/16/2025
5870860-PP,10/17/2025,10/17/2025,1/0/1900,"6,187.25-",0.00,"6,187.25-",PRE,10/17/2025," (6,187.25)",C5870860,10/17/2025
5870861-PP,10/17/2025,10/17/2025,1/0/1900,102.65,0.00,102.65,PRE,10/17/2025, 102.65 ,F5870861,10/17/2025
5870927-PP,10/17/2025,10/17/2025,1/0/1900,133.10,0.00,133.10,PRE,10/17/2025, 133.10 ,C5870927,10/17/2025
5870928-PP,10/17/2025,10/17/2025,1/0/1900,42.23,0.00,42.23,PRE,10/17/2025, 42.23 ,C5870928,10/17/2025
5870929-PP,10/17/2025,10/17/2025,1/0/1900,64.51,0.00,64.51,PRE,10/17/2025, 64.51 ,C5870929,10/17/2025
5870930-PP,10/17/2025,10/17/2025,1/0/1900,100.31,0.00,100.31,PRE,10/17/2025, 100.31 ,C5870930,10/17/2025
5870931-PP,10/17/2025,10/17/2025,1/0/1900,128.13,0.00,128.13,PRE,10/17/2025, 128.13 ,C5870931,10/17/2025
5870932-PP,10/17/2025,10/17/2025,1/0/1900,59.14,0.00,59.14,PRE,10/17/2025, 59.14 ,C5870932,10/17/2025
5870933-PP,10/17/2025,10/17/2025,1/0/1900,146.18,0.00,146.18,PRE,10/17/2025, 146.18 ,C5870933,10/17/2025
5870934-PP,10/17/2025,10/17/2025,1/0/1900,226.15,0.00,226.15,PRE,10/17/2025, 226.15 ,C5870934,10/17/2025
5870935-PP,10/17/2025,10/17/2025,1/0/1900,53.66,0.00,53.66,PRE,10/17/2025, 53.66 ,C5870935,10/17/2025
5870936-PP,10/17/2025,10/17/2025,1/0/1900,174.41,0.00,174.41,PRE,10/17/2025, 174.41 ,C5870936,10/17/2025
5870937-PP,10/17/2025,10/17/2025,1/0/1900,119.38,0.00,119.38,PRE,10/17/2025, 119.38 ,C5870937,10/17/2025
5870938-PP,10/17/2025,10/17/2025,1/0/1900,32.96,0.00,32.96,PRE,10/17/2025, 32.96 ,C5870938,10/17/2025
5870939-PP,10/17/2025,10/17/2025,1/0/1900,127.73,0.00,127.73,PRE,10/17/2025, 127.73 ,C5870939,10/17/2025
5870940-PP,10/17/2025,10/17/2025,1/0/1900,109.14,0.00,109.14,PRE,10/17/2025, 109.14 ,C5870940,10/17/2025
5870941-PP,10/17/2025,10/17/2025,1/0/1900,86.89,0.00,86.89,PRE,10/17/2025, 86.89 ,C5870941,10/17/2025
5870942-PP,10/17/2025,10/17/2025,1/0/1900,171.44,0.00,171.44,PRE,10/17/2025, 171.44 ,C5870942,10/17/2025
5870943-PP,10/17/2025,10/17/2025,1/0/1900,0.84,0.00,0.84,PRE,10/17/2025, 0.84 ,C5870943,10/17/2025
5873228-PP,10/20/2025,10/20/2025,1/0/1900,"7,320.45-",0.00,"7,320.45-",PRE,10/20/2025," (7,320.45)",C5873228,10/20/2025
5873229-PP,10/20/2025,10/20/2025,1/0/1900,128.18,0.00,128.18,PRE,10/20/2025, 128.18 ,F5873229,10/20/2025
5873300-PP,10/20/2025,10/20/2025,1/0/1900,233.24,0.00,233.24,PRE,10/20/2025, 233.24 ,C5873300,10/20/2025
5873301-PP,10/20/2025,10/20/2025,1/0/1900,135.69,0.00,135.69,PRE,10/20/2025, 135.69 ,C5873301,10/20/2025
5873302-PP,10/20/2025,10/20/2025,1/0/1900,269.27,0.00,269.27,PRE,10/20/2025, 269.27 ,C5873302,10/20/2025
5873303-PP,10/20/2025,10/20/2025,1/0/1900,137.31,0.00,137.31,PRE,10/20/2025, 137.31 ,C5873303,10/20/2025
5873304-PP,10/20/2025,10/20/2025,1/0/1900,67.39,0.00,67.39,PRE,10/20/2025, 67.39 ,C5873304,10/20/2025
5873305-PP,10/20/2025,10/20/2025,1/0/1900,49.82,0.00,49.82,PRE,10/20/2025, 49.82 ,C5873305,10/20/2025
5873306-PP,10/20/2025,10/20/2025,1/0/1900,64.55,0.00,64.55,PRE,10/20/2025, 64.55 ,C5873306,10/20/2025
5873307-PP,10/20/2025,10/20/2025,1/0/1900,234.88,0.00,234.88,PRE,10/20/2025, 234.88 ,C5873307,10/20/2025
5873308-PP,10/20/2025,10/20/2025,1/0/1900,31.58,0.00,31.58,PRE,10/20/2025, 31.58 ,C5873308,10/20/2025
5873309-PP,10/20/2025,10/20/2025,1/0/1900,116.15,0.00,116.15,PRE,10/20/2025, 116.15 ,C5873309,10/20/2025
5873310-PP,10/20/2025,10/20/2025,1/0/1900,296.75,0.00,296.75,PRE,10/20/2025, 296.75 ,C5873310,10/20/2025
5873311-PP,10/20/2025,10/20/2025,1/0/1900,64.03,0.00,64.03,PRE,10/20/2025, 64.03 ,C5873311,10/20/2025
5873312-PP,10/20/2025,10/20/2025,1/0/1900,1.44,0.00,1.44,PRE,10/20/2025, 1.44 ,C5873312,10/20/2025
W263370-IN,9/23/2025,10/10/2025,1/0/1900,122.14,0.00,122.14,INV,9/23/2025, 122.14 ,,
W265592-IN,10/13/2025,11/10/2025,1/0/1900,122.14,0.00,122.14,INV,10/13/2025, 122.14 ,,
Customer 0019110 Totals:,,,,"8,417.88-",0.00,"8,417.88-",,," (8,417.88)",,
0019125 Brett & Michelle Scott,,,,,,,,,,,
S345746-IN,10/10/2025,11/10/2025,1/0/1900,87.48,0.00,87.48,INV,10/10/2025, 87.48 ,,
Customer 0019125 Totals:,,,,87.48,0.00,87.48,,, 87.48 ,,
0019150 Jonathan E Perkins,,,,,,,,,,,
CL49304-IN,10/15/2025,10/25/2025,1/0/1900,57.34,0.00,57.34,INV,10/15/2025, 57.34 ,,
Customer 0019150 Totals:,,,,57.34,0.00,57.34,,, 57.34 ,,
0019151 Mike Powell,,,,,,,,,,,
0100325-PP,10/10/2025,10/10/2025,1/0/1900,15.00-,0.00,15.00-,PRE,10/10/2025, (15.00),CASH,10/10/2025
W266362-IN,10/15/2025,11/10/2025,1/0/1900,70.00,0.00,70.00,INV,10/17/2025, 70.00 ,,
Customer 0019151 Totals:,,,,55.00,0.00,55.00,,, 55.00 ,,
0019154 Rick Huddleston,,,,,,,,,,,
PRE-PP,10/13/2023,10/13/2023,1/0/1900,758.15-,0.00,71.69-,PRE,10/13/2023, (758.15),,10/13/2023
,,,,,,,PAY,3/20/2024, 742.60 ,APPLY0324,3/20/2024
,,,,,,,PAY,10/9/2024, (358.00),CCP,10/9/2024
,,,,,,,PAY,11/27/2024, 227.96 ,APPLY1124,11/27/2024
,,,,,,,PAY,1/9/2025, 50.00 ,APPLY0125,1/9/2025
,,,,,,,PAY,2/12/2025, (800.00),CCP,2/12/2025
,,,,,,,PAY,3/25/2025, 527.62 ,APPLY03.25,3/25/2025
,,,,,,,PAY,7/31/2025, 296.28 ,APPLY07.25,7/31/2025
Customer 0019154 Totals:,,,,758.15-,0.00,71.69-,,, (71.69),,
0019173 Krisztina Whittle,,,,,,,,,,,
S342763-IN,9/4/2025,10/10/2025,1/0/1900,720.00,0.00,720.00,INV,9/5/2025, 720.00 ,,
W264518-IN,9/29/2025,10/10/2025,1/0/1900,95.00,0.00,95.00,INV,9/29/2025, 95.00 ,,
Customer 0019173 Totals:,,,,815.00,0.00,815.00,,, 815.00 ,,
0019179 Kenneth Wold,,,,,,,,,,,
SEP0619-FC,9/30/2025,9/30/2025,1/0/1900,1.13,0.00,1.13,F/C,9/30/2025, 1.13 ,,
W258632-IN,8/13/2025,9/10/2025,1/0/1900,75.39,0.00,75.39,INV,8/20/2025, 75.39 ,,
Customer 0019179 Totals:,,,,76.52,0.00,76.52,,, 76.52 ,,
0019183 Daniel C Melendez,,,,,,*** On Credit Hold ***,,,,,
APR0532-FC,4/30/2025,4/30/2025,1/0/1900,4.61,0.00,4.61,F/C,4/30/2025, 4.61 ,,
AUG0594-FC,8/31/2025,8/31/2025,1/0/1900,4.61,0.00,4.61,F/C,8/31/2025, 4.61 ,,
FEB0626-FC,2/28/2025,2/28/2025,1/0/1900,2.93,0.00,2.93,F/C,2/28/2025, 2.93 ,,
JUL0509-FC,7/31/2025,7/31/2025,1/0/1900,4.61,0.00,4.61,F/C,7/31/2025, 4.61 ,,
JUN0505-FC,6/30/2025,6/30/2025,1/0/1900,4.61,0.00,4.61,F/C,6/30/2025, 4.61 ,,
MAR0622-FC,3/31/2025,3/31/2025,1/0/1900,2.93,0.00,2.93,F/C,3/31/2025, 2.93 ,,
MAY0525-FC,5/31/2025,5/31/2025,1/0/1900,4.61,0.00,4.61,F/C,5/31/2025, 4.61 ,,
S315746-IN,1/14/2025,2/10/2025,1/0/1900,234.00,0.00,234.00,INV,1/15/2025, 234.00 ,,
S324043-IN,3/4/2025,4/10/2025,1/0/1900,135.00,0.00,135.00,INV,3/5/2025, 135.00 ,,
SEP0620-FC,9/30/2025,9/30/2025,1/0/1900,4.61,0.00,4.61,F/C,9/30/2025, 4.61 ,,
Customer 0019183 Totals:,,,,402.52,0.00,402.52,,, 402.52 ,,
0019193 John Jordeth,,,,,,*** Credit Limit Exceeded ***,,,,,
S345824-IN,10/13/2025,10/16/2025,1/0/1900,244.98,0.00,244.98,INV,10/13/2025, 244.98 ,,
Customer 0019193 Totals:,,,,244.98,0.00,244.98,,, 244.98 ,,
0019212 Terry Stackhouse,,,,,,,,,,,
S340389-IN,8/21/2025,9/10/2025,1/0/1900,530.95,0.00,530.95,INV,8/22/2025, 530.95 ,,
SEP0621-FC,9/30/2025,9/30/2025,1/0/1900,7.96,0.00,7.96,F/C,9/30/2025, 7.96 ,,
W266363-IN,10/15/2025,11/10/2025,1/0/1900,100.70,0.00,100.70,INV,10/17/2025, 100.70 ,,
Customer 0019212 Totals:,,,,639.61,0.00,639.61,,, 639.61 ,,
0019220 Justin Wilhelm,,,,,,,,,,,
W262848-IN,9/23/2025,10/10/2025,1/0/1900,99.00,0.00,99.00,INV,9/24/2025, 99.00 ,,
